source_key,name,source_type,address,neighborhood,section_code,query,normalized_address,latitude,longitude,accepted,confidence,score,reason,geocoding_source
"pdf-2026-06-30-001","Virgen del a Merced(Amalia)","Plaza","Lavaissey Entre Rios","Toledo","1","Lavaisse y Entre Rios","LAVAISSE (ESQUINA ENTRE RIOS), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.856469623","-65.206112662","true","media","10.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-002","Antartida Argentina","Plazoleta","Bernabe Araoz1700y Jose Malabia","Sgto Lay","1","Bernabe Araoz 1700 y Jose Malabia, Sgto Lay, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-003","Juan Gutemberg","Plazoleta","Democraciay Ayacucho","EIGrafico/Diza","1","Democracia y Ayacucho","AV DEMOCRACIA (ESQUINA AYACUCHO), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.866821907","-65.219257716","true","media","10.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-004","Villa Amalia2-Boulevard Magallanes","Plazoleta","Hernandode Magallanes300,entrelas Herasy Congreso","Villa Amalia","1","Hernandode Magallanes 300,entre las Heras y Congreso, Villa Amalia, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-005","Ingreso San Cayetano","Plazoleta","Beruttiy Anselmo Rojo","","1","Berutti y Anselmo Rojo","BERUTI (ESQUINA DIAG ANSELMO ROJO), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.855578682","-65.193003503","true","media","10.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-006","Juan Pabloll(delarteycultura)","Plaza","Mejico4300-Gregorio V.de Andrade1900","Congreso","1","Mejico 4300 Gregorio V.de Andrade 1900, Congreso, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-007","Alberto Garcia Hamilton","Plaza","Ecuador4200","o'Connors","1","Ecuador 4200, o'Connors, San Miguel de Tucuman, Tucuman, Argentina","Ecuador, O'Connors, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.7974208","-65.2541102","true","media","3.75","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-008","Capitan Can dela ria","Plaza","Suipacha1300","Villa Urquiza","1","Suipacha 1300, Villa Urquiza, San Miguel de Tucuman, Tucuman, Argentina","Suipacha, Villa Urquiza, Vial 1, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.804119","-65.2109846","true","media","4.75","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-009","Francisco Jose Ponssa","Plaza","Juramentoala Banderay Yamandu Rodriguez","Las Brisas","1","Juramentoala Bandera y Yamandu Rodriguez, Las Brisas, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-010","Jose Sortheix","Plaza","Americo Vespucio1600,esquina Prospero Mena","Juan BTeran","1","Plaza Jose Sortheix, San Miguel de Tucuman, Tucuman, Argentina","Plaza José Sortheix, San Miguel de Tucumán, Departamento Capital, Tucumán, 4000, Argentina","-26.8537522","-65.2295506","true","alta","7.00","nombre_del_espacio","OpenStreetMap Nominatim"
"pdf-2026-06-30-011","Juan Crisostomo Mendez","Plazoleta","Pje.Vega1065y La Rioja","EICruce","1","Pasaje Vega 1065 y La Rioja, EICruce, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-012","Dolores Cordoba del a Vega","Plazoleta","Saavedra2300","Aguas Corrientes","1","Saavedra 2300, Aguas Corrientes, San Miguel de Tucuman, Tucuman, Argentina","Cornelio Saavedra, Aguas corrientes, Vial 1, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.7951809","-65.2256303","true","media","4.75","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-013","Mario Bravo","Plazoleta","Asunci6n1100y Pje.Arenales","EIBosque","1","Asunci 6 n 1100 y Pasaje Arenales, EIBosque, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-014","Rev.Padre Jose Punta","Plazoleta","Isabella Catlica1800,esquina San Miguel","Gas del estado","1","Isabella Catlica 1800,esquina San Miguel, Gas del estado, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-015","Pujyana","Plaza","Santiago3200","SITRAVII","1","Santiago 3200, San Miguel de Tucuman, Tucuman, Argentina","Santiago del Estero, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","calle_o_tramo_aproximado",""
"pdf-2026-06-30-016","Republicade Bolivia","Plaza","Av.Matede Lunay Av.America(hasta Pje.Del Prado)","Belgrano","1","Avenida Matede Luna y Avenida America hasta Pasaje Del Prado, Belgrano, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-017","SMATAI","Plazoleta","Batalla de Boyacay Adolfo Alsina.Detras dela Coca.Son dos plazas","SMATAI","1","Batalla de Boyaca y Adolfo Alsina.Detras dela Coca.Son dos plazas, SMATAI, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-018","Capitan Medina","Plazoleta","Pje.Juan Cruz Varela entre38/51NOy Paso del os Andes.","16de Junio","1","Pasaje Juan Cruz Varela entre 38 51 NOy Paso del os Andes., 16de Junio, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-019","Sin nombre","Plazoleta","Rafael Obligadoy Calle63NO","Telefonico","1","Rafael Obligado y Calle 63 NO, Telefonico, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-020","Anselmo Rojo","Terraplen","Anselmo Rojodesde Belisario Lopezhasta Rotondade San Cayetano","","1","Anselmo Rojo, San Miguel de Tucuman, Tucuman, Argentina","Diagonal Anselmo Rojo, San Cayetano, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8503832","-65.1959596","true","media","6.00","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-021","S/N","Plaza","Lidoro Quinterosy San Genaro P.U.471","314Viviendas","7","Plaza S N, San Miguel de Tucuman, Tucuman, Argentina","Plaza Perú, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","1.00","coincidencia_aproximada",""
"pdf-2026-06-30-022","B°130Viviendas","Platabanda","AV.71Noreste Desde Cuba hasta Atahualpa- P.U.1-371-372-374-377-39-40-37-371-PARTE DEL P.U38-(SIN","","7","Avenida 71 Noreste Desde Cuba hasta Atahualpa, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-023","Banda del Rio Sali","Acceso"," PLAZA HEROESDE MALVINAY P.U.375) OBEID","","7","Banda del Rio Sali, San Miguel de Tucuman, Tucuman, Argentina","Escuela Secundaria Antártida Argentina, RP302, Los Vera, Municipio de Ranchillos y San Miguel, Departamento Cruz Alta, Tucumán, 4178, Argentina","","","false","revisar","0.00","coincidencia_aproximada",""
"pdf-2026-06-30-024","Deodora Roco","Plaza","Pje.Saenz Penia3700","Cooperget","2","Pasaje Saenz Penia 3700, Cooperget, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-025","Don Bosco","Plaza","Santiago delestero 1800,esquina Pje.Felix Frias","Don Bosco","2","Santiago delestero 1800,esquina Pasaje Felix Frias, Don Bosco, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-026","San Expedito(Campora)","Plaza","Ayacucho4100y Araujo","Blasco","2","Ayacucho 4100 y Araujo, Blasco, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-027","Centenario","Plaza","Alsinaentre Morenoy Entre Rios","Vvilla Alem","2","Alsina entre Moreno y Entre Rios","ADOLFO ALSINA (ENTRE MORENO Y ENTRE RIOS), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.845830904","-65.2027435785","true","media","11.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-028","Leopoldo Marechal","Plaza","Alsina,entre Pje.Neuqueny Entre Rios","Villa Alem","2","Alsina,entre Pasaje Neuquen y Entre Rios, Villa Alem, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-029","Juana Manso","Plaza","Eugenio Mendez400","San Cayetano","2","Eugenio Mendez 400, San Cayetano, San Miguel de Tucuman, Tucuman, Argentina","400, Eugenio Mendez, San Cayetano, Villa Alem, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8511105","-65.1975294","true","alta","9.25","direccion_con_altura","OpenStreetMap Nominatim"
"pdf-2026-06-30-030","M.M.de Guemes","Plaza","Fortunata Garciay Ayacucho","Eva Peron","2","Fortunata Garcia y Ayacucho","FORTUNATA GARCIA (ESQUINA AYACUCHO), San Miguel de Tucumán, Capital, Tucumán, San Miguel de Tucuman, Capital, Tucuman","-26.852009243","-65.214607406","true","media","11.00","calle_o_tramo_aproximado","Georef Argentina v2"
"pdf-2026-06-30-031","Almafuerte","Plazoleta","Pasaje Einsteiny La Rioja","Los Andes","2","Pasaje Einstein y La Rioja, Los Andes, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-032","Lozano Munoz","Plaza","Sargento Cabral2100","Echeverria","2","Sargento Cabral 2100, Echeverria, San Miguel de Tucuman, Tucuman, Argentina","Sargento Juan Bautista Cabral, Echeverría, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.7962747","-65.2298527","true","media","5.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
"pdf-2026-06-30-033","8*Blasco","Ingreso","PU:44y69 COOP.REMACOOP","","2","Ingreso 8*Blasco, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-034","Miguel Campero","Plaza","Colombia4600","Los Tarcos Ill","3","Colombia 4600, San Miguel de Tucuman, Tucuman, Argentina","Colombia, Kennedy, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","","","false","revisar","2.75","calle_o_tramo_aproximado",""
"pdf-2026-06-30-035","Juan Eduardo Tenreyro","Plaza","Ollerosy Av.Colon2200","Sutiaga","3","Olleros y Avenida Colon 2200, Sutiaga, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-036","Alberto Rouges","Plazoleta","O'Higgins1900y Pje.Jose Benito Gonzalez","Los Vasquez","3","O'Higgins 1900 y Pasaje Jose Benito Gonzalez, Los Vasquez, San Miguel de Tucuman, Tucuman, Argentina","","","","false","revisar","","sin_resultado_confiable",""
"pdf-2026-06-30-037","Italia","Boulevard","Italiaentre Balcarcey25de Mayo","","3","Italia, San Miguel de Tucuman, Tucuman, Argentina","Italia, Jardín, Villa Luján, San Miguel de Tucumán, Departamento Capital, Tucumán, T4000, Argentina","-26.8078246","-65.242579","true","media","3.50","calle_o_tramo_aproximado","OpenStreetMap Nominatim"
