source_key,current_name,official_name,notes
pdf-2026-06-30-001,Virgen del a Merced(Amalia),Virgen de la Merced (Amalia),PDF original plazasInforme.pdf
pdf-2026-06-30-002,Antartida Argentina,Antártida Argentina,PDF original plazasInforme.pdf
pdf-2026-06-30-004,Villa Amalia2-Boulevard Magallanes,Villa Amalia 2 - Boulevard Magallanes,PDF original plazasInforme.pdf
pdf-2026-06-30-006,Juan Pabloll(delarteycultura),Juan Pablo II (del arte y cultura),PDF original plazasInforme.pdf
pdf-2026-06-30-007,Alberto Garcia Hamilton,Alberto García Hamilton,PDF original plazasInforme.pdf
pdf-2026-06-30-008,Capitan Can dela ria,Capitán Candelaria,PDF original plazasInforme.pdf
pdf-2026-06-30-009,Francisco Jose Ponssa,Francisco José Ponssa,PDF original plazasInforme.pdf
pdf-2026-06-30-010,Jose Sortheix,José Sortheix,PDF original plazasInforme.pdf
pdf-2026-06-30-011,Juan Crisostomo Mendez,Juan Crisóstomo Méndez,PDF original plazasInforme.pdf
pdf-2026-06-30-012,Dolores Cordoba del a Vega,Dolores Córdoba de la Vega,PDF original plazasInforme.pdf
pdf-2026-06-30-014,Rev.Padre Jose Punta,Rev. Padre José Punta,PDF original plazasInforme.pdf
pdf-2026-06-30-016,Republicade Bolivia,República de Bolivia,PDF original plazasInforme.pdf
pdf-2026-06-30-017,SMATAI,SMATA I,PDF original plazasInforme.pdf
pdf-2026-06-30-018,Capitan Medina,Capitán Medina,PDF original plazasInforme.pdf
pdf-2026-06-30-030,M.M.de Guemes,M. M. de Güemes,PDF original plazasInforme.pdf
pdf-2026-06-30-032,Lozano Munoz,Lozano Muñoz,PDF original plazasInforme.pdf
pdf-2026-06-30-033,8*Blasco,B° Blasco,PDF original plazasInforme.pdf
pdf-2026-06-30-036,Alberto Rouges,Alberto Rougés,PDF original plazasInforme.pdf
pdf-2026-06-30-077,Cesar Cipolletti,César Cipolletti,PDF original plazasInforme.pdf
pdf-2026-06-30-081,Maria Auxiliadora,María Auxiliadora,PDF original plazasInforme.pdf
pdf-2026-06-30-082,Barrancasdel Sali B,Barrancas del Salí B,PDF original plazasInforme.pdf
pdf-2026-06-30-083,Veradecanal,Vera de canal,PDF original plazasInforme.pdf
pdf-2026-06-30-084,BSan Martin,B° San Martín,PDF original plazasInforme.pdf
pdf-2026-06-30-086,Int.Alfredo Guzman,Int. Alfredo Guzmán,PDF original plazasInforme.pdf
pdf-2026-06-30-087,Int.Carlos Maria Torres,Int. Carlos María Torres,PDF original plazasInforme.pdf
pdf-2026-06-30-089,Caminode Sirga,Camino de Sirga,PDF original plazasInforme.pdf
pdf-2026-06-30-090,Panamay Jose Hernandez,Panamá y José Hernández,PDF original plazasInforme.pdf
pdf-2026-06-30-091,C.de Fragata Pedro E.Giachino,C. de Fragata Pedro E. Giachino,PDF original plazasInforme.pdf
pdf-2026-06-30-092,Gral.Lorenzo Vinter,Gral. Lorenzo Vinter,PDF original plazasInforme.pdf
pdf-2026-06-30-093,Mons.Miguel de Andrea,Mons. Miguel de Andrea,PDF original plazasInforme.pdf
pdf-2026-06-30-095,San Miguel Arcangel,San Miguel Arcángel,PDF original plazasInforme.pdf
pdf-2026-06-30-097,Dr.F.lrrazabal,Dr. F. Irrazabal,PDF original plazasInforme.pdf
pdf-2026-06-30-100,Santisima Trinidad,Santísima Trinidad,PDF original plazasInforme.pdf
pdf-2026-06-30-102,Dr.Angel Pisarello,Dr. Ángel Pisarello,PDF original plazasInforme.pdf
pdf-2026-06-30-103,Monumentoal Alfabeto,Monumento al Alfabeto,PDF original plazasInforme.pdf
pdf-2026-06-30-104,Tte.B.Matienzo,Tte. B. Matienzo,PDF original plazasInforme.pdf
pdf-2026-06-30-108,Dela Libertad,De la Libertad,PDF original plazasInforme.pdf
pdf-2026-06-30-110,Miguelde Azcuenaga,Miguel de Azcuénaga,PDF original plazasInforme.pdf
pdf-2026-06-30-111,ing.Agr.Jose Ploper,Ing. Agr. José Ploper,PDF original plazasInforme.pdf
pdf-2026-06-30-112,Diegode Villarroel,Diego de Villarroel,PDF original plazasInforme.pdf
pdf-2026-06-30-119,Alameda del a Victoria,Alameda de la Victoria,PDF original plazasInforme.pdf
pdf-2026-06-30-121,Jose Padilla,José Padilla,PDF original plazasInforme.pdf
pdf-2026-06-30-122,Ntra.Sra.del Valle,Ntra. Sra. del Valle,PDF original plazasInforme.pdf
pdf-2026-06-30-127,BBlasco Il(CGT),B° Blasco II (CGT),PDF original plazasInforme.pdf
pdf-2026-06-30-130,Ciuda del a,Ciudadela,PDF original plazasInforme.pdf
pdf-2026-06-30-133,B*Blasco I(Las Rosas Sur)3,B° Blasco I (Las Rosas Sur) 3,PDF original plazasInforme.pdf
pdf-2026-06-30-137,Barrancasdel Sali A,Barrancas del Salí A,PDF original plazasInforme.pdf
pdf-2026-06-30-138,Adolfo del a Vega,Adolfo de la Vega,PDF original plazasInforme.pdf
pdf-2026-06-30-139,Dr.Cesar Carman,Dr. César Carman,PDF original plazasInforme.pdf
pdf-2026-06-30-140,Coop.Guemes,Coop. Güemes,PDF original plazasInforme.pdf
pdf-2026-06-30-141,Sargento D.Juarez,Sargento D. Juárez,PDF original plazasInforme.pdf
pdf-2026-06-30-142,Int.Gregoriode Zavaleta,Int. Gregorio de Zavaleta,PDF original plazasInforme.pdf
pdf-2026-06-30-143,Jesus del a Divina Misericordia,Jesús de la Divina Misericordia,PDF original plazasInforme.pdf
pdf-2026-06-30-144,islas Malvinas,Islas Malvinas,PDF original plazasInforme.pdf
pdf-2026-06-30-149,Reina del a Paz,Reina de la Paz,PDF original plazasInforme.pdf
pdf-2026-06-30-154,Dr.Jose Lucas Penna,Dr. José Lucas Penna,PDF original plazasInforme.pdf
pdf-2026-06-30-157,Estadosarabes,Estados árabes,PDF original plazasInforme.pdf
pdf-2026-06-30-162,America,América,PDF original plazasInforme.pdf
pdf-2026-06-30-164,Zenon Santillan,Zenón Santillán,PDF original plazasInforme.pdf
pdf-2026-06-30-165,4dejunio,4 de Junio,PDF original plazasInforme.pdf
pdf-2026-06-30-166,Los Platanos,Los Plátanos,PDF original plazasInforme.pdf
pdf-2026-06-30-167,Espacioverde,Espacio verde,PDF original plazasInforme.pdf
pdf-2026-06-30-168,Int.Roberto Avellaneda,Int. Roberto Avellaneda,PDF original plazasInforme.pdf
pdf-2026-06-30-174,Joaquin Morales Sola,Joaquín Morales Solá,PDF original plazasInforme.pdf
pdf-2026-06-30-180,1°de Mayo,1° de Mayo,PDF original plazasInforme.pdf
pdf-2026-06-30-181,Ing.Domingo Torres,Ing. Domingo Torres,PDF original plazasInforme.pdf
pdf-2026-06-30-188,Virgendel Rosariode San Nicolas,Virgen del Rosario de San Nicolás,PDF original plazasInforme.pdf
pdf-2026-06-30-189,Dr.Pedro Cossio Paz,Dr. Pedro Cossio Paz,PDF original plazasInforme.pdf
pdf-2026-06-30-190,25de Mayo,25 de Mayo,PDF original plazasInforme.pdf
pdf-2026-06-30-193,ATSAII,ATSA II,PDF original plazasInforme.pdf
pdf-2026-06-30-198,v Centenario,V° Centenario,PDF original plazasInforme.pdf
pdf-2026-06-30-199,Rene Favaloro,René Favaloro,PDF original plazasInforme.pdf
pdf-2026-06-30-200,Las Americas,Las Américas,PDF original plazasInforme.pdf
pdf-2026-06-30-201,B*Policial IV,B° Policial IV,PDF original plazasInforme.pdf
pdf-2026-06-30-203,Juan Manuelde Rosas,Juan Manuel de Rosas,PDF original plazasInforme.pdf
pdf-2026-06-30-206,Diagonal90,Diagonal 90,PDF original plazasInforme.pdf
pdf-2026-06-30-209,Nestor Kirchner,Néstor Kirchner,PDF original plazasInforme.pdf
pdf-2026-06-30-213,CANALSUR,CANAL SUR,PDF original plazasInforme.pdf
pdf-2026-06-30-216,Cristobal Colon,Cristóbal Colón,PDF original plazasInforme.pdf
pdf-2026-06-30-217,Dr.Ramon Domingo Auad,Dr. Ramón Domingo Auad,PDF original plazasInforme.pdf
pdf-2026-06-30-218,Heroesde Malvinas,Héroes de Malvinas,PDF original plazasInforme.pdf
