page,section,provider,source_type,name,address,neighborhood,surface_m2,ocr_confidence
3,1,LOBO,Plaza,Virgen del a Merced(Amalia),Lavaissey Entre Rios,Toledo,6500,0.988
3,1,LOBO,Plazoleta,Antartida Argentina,Bernabe Araoz1700y Jose Malabia,Sgto Lay,973,0.99
3,1,LOBO,Plazoleta,Juan Gutemberg,Democraciay Ayacucho,EIGrafico/Diza,3153,0.989
3,1,LOBO,Plazoleta,Villa Amalia2-Boulevard Magallanes,"Hernandode Magallanes300,entrelas Herasy Congreso",Villa Amalia,1844,0.982
3,1,LOBO,Plazoleta,Ingreso San Cayetano,Beruttiy Anselmo Rojo,,592,0.986
3,1,LOBO,Plaza,Juan Pabloll(delarteycultura),Mejico4300-Gregorio V.de Andrade1900,Congreso,8699,0.988
3,1,LOBO,Plaza,Alberto Garcia Hamilton,Ecuador4200,o'Connors,8903,0.978
3,1,LOBO,Plaza,Capitan Can dela ria,Suipacha1300,Villa Urquiza,2475,0.981
3,1,LOBO,Plaza,Francisco Jose Ponssa,Juramentoala Banderay Yamandu Rodriguez,Las Brisas,4916,0.989
3,1,LOBO,Plaza,Jose Sortheix,"Americo Vespucio1600,esquina Prospero Mena",Juan BTeran,14823,0.987
3,1,LOBO,Plazoleta,Juan Crisostomo Mendez,Pje.Vega1065y La Rioja,EICruce,900,0.973
3,1,LOBO,Plazoleta,Dolores Cordoba del a Vega,Saavedra2300,Aguas Corrientes,556,0.986
3,1,LOBO,Plazoleta,Mario Bravo,Asunci6n1100y Pje.Arenales,EIBosque,1200,0.984
3,1,LOBO,Plazoleta,Rev.Padre Jose Punta,"Isabella Catlica1800,esquina San Miguel",Gas del estado,1800,0.967
3,1,LOBO,Plaza,Pujyana,Santiago3200,SITRAVII,3213,0.98
3,1,LOBO,Plaza,Republicade Bolivia,Av.Matede Lunay Av.America(hasta Pje.Del Prado),Belgrano,1704,0.978
3,1,LOBO,Plazoleta,SMATAI,Batalla de Boyacay Adolfo Alsina.Detras dela Coca.Son dos plazas,SMATAI,2238,0.979
3,1,LOBO,Plazoleta,Capitan Medina,Pje.Juan Cruz Varela entre38/51NOy Paso del os Andes.,16de Junio,2292,0.983
3,1,LOBO,Plazoleta,Sin nombre,Rafael Obligadoy Calle63NO,Telefonico,2800,0.985
3,1,LOBO,Terraplen,Anselmo Rojo,Anselmo Rojodesde Belisario Lopezhasta Rotondade San Cayetano,,23603,0.991
3,7,LOBO,Plaza,S/N,Lidoro Quinterosy San Genaro P.U.471,314Viviendas,7136,0.989
3,7,LOBO,Platabanda,B°130Viviendas,AV.71Noreste Desde Cuba hasta Atahualpa- P.U.1-371-372-374-377-39-40-37-371-PARTE DEL P.U38-(SIN,,3782,0.972
3,7,LOBO,Acceso,Banda del Rio Sali, PLAZA HEROESDE MALVINAY P.U.375) OBEID,,43300,0.976
3,2,OBEID,Plaza,Deodora Roco,Pje.Saenz Penia3700,Cooperget,7100,0.984
3,2,OBEID,Plaza,Don Bosco,"Santiago delestero 1800,esquina Pje.Felix Frias",Don Bosco,14624,0.987
3,2,OBEID,Plaza,San Expedito(Campora),Ayacucho4100y Araujo,Blasco,9910,0.984
3,2,OBEID,Plaza,Centenario,Alsinaentre Morenoy Entre Rios,Vvilla Alem,4640,0.961
